index,n,metric,estimate
2009-01-01,7,mean_absolute_error,2.240428571428571
2009-01-01,7,mean_squared_error,5.322082428571429
2009-01-08,7,mean_absolute_error,1.6565714285714286
2009-01-08,7,mean_squared_error,3.0981165714285717
2009-01-15,7,mean_absolute_error,1.8388571428571432
2009-01-15,7,mean_squared_error,3.842503428571429
2009-01-22,7,mean_absolute_error,2.29
2009-01-22,7,mean_squared_error,5.578691428571427
2009-01-29,7,mean_absolute_error,2.1724285714285716
2009-01-29,7,mean_squared_error,5.0513458571428576
2009-02-05,7,mean_absolute_error,2.2880000000000003
2009-02-05,7,mean_squared_error,5.6329651428571434
2009-02-12,7,mean_absolute_error,2.279571428571429
2009-02-12,7,mean_squared_error,5.558021285714285
2009-02-19,7,mean_absolute_error,2.263
2009-02-19,7,mean_squared_error,5.486887000000001
2009-02-26,7,mean_absolute_error,2.257285714285714
2009-02-26,7,mean_squared_error,5.364840428571428
2009-03-05,7,mean_absolute_error,2.307
2009-03-05,7,mean_squared_error,5.711624142857142
2009-03-12,7,mean_absolute_error,2.3419999999999996
2009-03-12,7,mean_squared_error,5.863220571428572
2009-03-19,7,mean_absolute_error,2.2487142857142857
2009-03-19,7,mean_squared_error,5.475258714285714
2009-03-26,7,mean_absolute_error,2.3742857142857146
2009-03-26,7,mean_squared_error,5.966735714285716
2009-04-02,7,mean_absolute_error,2.3341428571428575
2009-04-02,7,mean_squared_error,5.790323571428571
2009-04-09,2,mean_absolute_error,2.7479999999999998
2009-04-09,2,mean_squared_error,7.552464999999999
